"Species_23","prop_dead","prop_missing","prop_alive","prop_break","avg_break","sd_break","count","year"
"ACERUB",0.148553281580805,0.0218772053634439,0.829569513055752,0.0128040973111396,-5.1,2.33563105258367,2834,"21-22"
"BETSP",0.198198198198198,0.027027027027027,0.774774774774775,0.0271317829457364,-9.42857142857143,4.78215930506791,333,"21-22"
"PINSTR",0.0576923076923077,0,0.942307692307692,0.0416666666666667,-8,1.4142135623731,52,"21-22"
"QUERUB",0.2,0.0192307692307692,0.780769230769231,0.0945273631840796,-7.34210526315789,6.46368623666727,260,"21-22"
"TSUCAN",0.253125,0.025,0.721875,0.0260869565217391,-10.4166666666667,12.5794144007846,320,"21-22"
"ACERUB",0.186564788283986,0.0827761859280484,0.730659025787966,0.0166083916083916,-5.35526315789474,3.86583772036898,3141,"22-23"
"BETSP",0.156666666666667,0.0333333333333333,0.81,0.0580912863070539,-8.42857142857143,5.58107083348273,300,"22-23"
"PINSTR",0.134048257372654,0.0294906166219839,0.836461126005362,0.00641025641025641,-4.25,1.06066017177982,373,"22-23"
"QUERUB",0.281927710843373,0.072289156626506,0.64578313253012,0.104868913857678,-6.25,3.65528536657688,415,"22-23"
"TSUCAN",0.213793103448276,0.0482758620689655,0.737931034482759,0.0849056603773585,-7.11111111111111,5.7994816085668,290,"22-23"
