"term","estimate","std.error","statistic","p.value","spp","canopy","n","surv","surv_sp","surv_sp_max","surv_sp_canopy_max"
"(Intercept)",1.19294172089161,0.0428145784754295,27.8629794656559,7.49970979969712e-171,1,1,3055,0.767266775777047,0.777498744349299,0.87,0.863273761969899
"(Intercept)",1.40002938950982,0.0515006545096162,27.1846912013206,9.85381154731315e-163,1,2,2376,0.802188552188516,0.777498744349299,0.87,0.885931336074173
"(Intercept)",0.693147180559745,0.142373673221398,4.8685066900105,1.12444716777331e-06,2,1,222,0.666666666666622,0.791469194312712,0.91,0.841972452949258
"(Intercept)",1.80602504638673,0.141683563229017,12.746891772248,3.24424338748816e-37,2,2,411,0.858880778588791,0.791469194312712,0.91,0.941906695117794
"(Intercept)",1.78532857889772,0.21192720739372,8.42425378437098,3.63056589102278e-17,3,1,181,0.856353591160215,0.849411764705882,0.812,0.820301584340224
"(Intercept)",1.94591014901449,0.218217036282835,8.91731544961672,4.77727448629493e-19,3,2,192,0.874999999995535,0.849411764705882,0.812,0.842768577804083
"(Intercept)",0.838787170718215,0.110170634293064,7.61352765281324,2.66714231034183e-14,4,1,391,0.698209718669849,0.697777777777551,0.68,0.680445713201493
"(Intercept)",1.04678722080053,0.202339464393769,5.17342093366127,2.2984640927198e-07,4,2,127,0.740157480314386,0.697777777777551,0.68,0.72388616499642
"(Intercept)",1.01613606684102,0.13047934346319,7.78771596998174,6.82313489868272e-15,5,1,301,0.734219269102433,0.730706075533124,0.902,0.90357340040962
"(Intercept)",0.95179742032877,0.129225894229086,7.36537693166563,1.76647024993403e-13,5,2,298,0.721476510066653,0.730706075533124,0.902,0.897820272328381
