"spp","canopy","a.mu","a.sd","a.05","a.50","a.95","b.mu","b.sd","b.05","b.50","b.95"
"ACERUB",1,0.296055060719931,0.0259907887570985,0.259572132744562,0.293786921180793,0.344502374342109,0.0538787986422539,0.0105259685046507,0.038462961712729,0.0537416826985313,0.070798882449534
"ACERUB",2,0.240827100447271,0.0133712160449514,0.21780215814354,0.241193394633044,0.26369555447126,0.0246456696495263,0.00301566461360216,0.0201065829611042,0.0245288711501666,0.0294456882844551
"BETSP",1,0.216209041217479,0.0422848328830937,0.151612298998207,0.210739419424453,0.302907303477831,0.00520602448839257,0.00127644092820294,0.00342126467446136,0.00505782687957877,0.0078015801913077
"BETSP",2,0.250179857952645,0.0313853021204403,0.208781434703391,0.246757686378858,0.301260116292604,0.00284635972416608,0.0006325031321756,0.00199709843873829,0.00282395086784925,0.00377505764186156
"PINSTR",1,0.273425223083545,0.0489843333133577,0.204582045385247,0.267763042161662,0.354949129865943,0.032832743271561,0.00878060485205479,0.0191330564109245,0.0332156882375631,0.0486488081431044
"PINSTR",2,0.254186936887813,0.0344238910587289,0.203180953209913,0.251337064838006,0.318382682994649,0.0084093426075084,0.00233057633877425,0.00513327994303904,0.00819059176793051,0.0124269833511475
"QUERUB",1,0.575376878820405,0.15485919709461,0.346201747788757,0.562489607013403,0.887779111105621,0.087552469838964,0.0182903968002414,0.0574635010651879,0.0865295021108527,0.122519720911834
"QUERUB",2,0.151939029636583,0.064069652571906,0.0665431838317164,0.146910366574815,0.245202915407942,-0.000123352149683014,0.0156992663682725,-0.0267967862635236,0.000691115854322849,0.0224841996947598
"TSUCAN",1,0.106323027266318,0.0272500881788022,0.0629511434191874,0.103354692692832,0.152444635899574,0.00453136512376771,0.00292070024048034,-0.000197225929198672,0.00452644567903871,0.00911511470843373
"TSUCAN",2,0.108079508478406,0.0269003297810523,0.0671808433366842,0.103726258003556,0.155432066219483,0.00411632840500173,0.0021089432206522,0.00120710299697338,0.00384642104088779,0.00779623283211144
