"","mod","species","canopy","quantile","a","b","c"
"1","logistic",1,1,0.9,9.73110657681799,13.3378264185163,9.07989998506426
"2","ricker",1,1,0.9,0.5,0.01,NA
"3","gompertz",1,1,0.9,NA,NA,NA
"4","logistic",1,2,0.9,10.5986599827261,15.485177344158,11.2715266926858
"5","ricker",1,2,0.9,0.564341630004729,0.0206353386577125,NA
"6","gompertz",1,2,0.9,13.5942783801536,1.92492758887452,0.956822831992841
"7","logistic",2,1,0.9,29.3746806587575,24.8905762483293,13.2081701009812
"8","ricker",2,1,0.9,0.722403661699115,0.00619036004285059,NA
"9","gompertz",2,1,0.9,29.000201942343,2.10068037825871,0.958835373590847
"10","logistic",2,2,0.9,67.5364300073559,85.6057314165988,45.9940057261448
"11","ricker",2,2,0.9,0.0349734459502338,-0.0170130475364174,NA
"12","gompertz",2,2,0.9,NA,NA,NA
"13","logistic",3,1,0.9,7.5001356228274,7.20837689913138,3.18588973069495
"14","ricker",3,1,0.9,0.632165116828108,0.0268238446213297,NA
"15","gompertz",3,1,0.9,7.50100757869378,3.69590532622705,0.784501060103866
"16","logistic",3,2,0.9,12.9179553175872,16.1968474617011,11.3104704363581
"17","ricker",3,2,0.9,0.675642851268358,0.0162932036758509,NA
"18","gompertz",3,2,0.9,12.8782025439042,1.77367763651981,0.940145960189447
"19","logistic",4,1,0.9,4755.27660833633,11312.7655426861,1375.00337837211
"20","ricker",4,1,0.9,0.988025917918744,0.0681100831706162,NA
"21","gompertz",4,1,0.9,NA,NA,NA
"22","logistic",4,2,0.9,222.625325753948,442.372636932623,112.989272253083
"23","ricker",4,2,0.9,0.43873055837622,0.0162289386875736,NA
"24","gompertz",4,2,0.9,NA,NA,NA
"25","logistic",5,1,0.9,11.0006642013268,23.0093465444606,17.8301530956641
"26","ricker",5,1,0.9,0.391248056185182,0.0106091765523378,NA
"27","gompertz",5,1,0.9,NA,NA,NA
"28","logistic",5,2,0.9,12.7810512341684,16.6929886156749,10.3105098797615
"29","ricker",5,2,0.9,0.5,0.01,NA
"30","gompertz",5,2,0.9,1767.56906270939,6.06280307926409,0.997612433874531
